model,condition,seed,class_id,action,support,clean_accuracy,accuracy
stgcn,clean,3407,53,point finger at the other person,276,0.907,0.8986
stgcn,clean,3407,54,hugging other person,274,0.9757,0.9818
stgcn,clean,3407,55,giving something to other person,276,0.9348,0.9457
stgcn,clean,3407,56,touch other person's pocket,275,0.9285,0.9309
stgcn,clean,3407,57,handshaking,276,0.9517,0.9638
stgcn,clean,3407,58,walking towards each other,273,0.9939,0.9963
stgcn,clean,3407,59,walking apart from each other,276,0.9626,0.9601
stgcn,joint_missing_mild,255,0,drink water,274,0.8759,0.6642
stgcn,joint_missing_mild,255,1,eat meal/snack,275,0.7394,0.5055
stgcn,joint_missing_mild,255,2,brushing teeth,273,0.8584,0.5788
stgcn,joint_missing_mild,255,3,brushing hair,273,0.9048,0.5897
stgcn,joint_missing_mild,255,4,drop,275,0.8315,0.4873
stgcn,joint_missing_mild,255,5,pickup,275,0.9527,0.8945
stgcn,joint_missing_mild,255,6,throw,275,0.9115,0.6873
stgcn,joint_missing_mild,255,7,sitting down,273,0.9658,0.8645
stgcn,joint_missing_mild,255,8,standing up (from sitting position),273,0.9805,0.9414
stgcn,joint_missing_mild,255,9,clapping,273,0.7827,0.5678
stgcn,joint_missing_mild,255,10,reading,273,0.6032,0.5421
stgcn,joint_missing_mild,255,11,writing,272,0.5245,0.4743
stgcn,joint_missing_mild,255,12,tear up paper,271,0.8954,0.679
stgcn,joint_missing_mild,255,13,wear jacket,275,0.983,0.9891
stgcn,joint_missing_mild,255,14,take off jacket,276,0.9589,0.9203
stgcn,joint_missing_mild,255,15,wear a shoe,273,0.6545,0.3883
stgcn,joint_missing_mild,255,16,take off a shoe,274,0.7798,0.5693
stgcn,joint_missing_mild,255,17,wear on glasses,273,0.906,0.7766
stgcn,joint_missing_mild,255,18,take off glasses,274,0.9343,0.8577
stgcn,joint_missing_mild,255,19,put on a hat/cap,272,0.9498,0.8456
stgcn,joint_missing_mild,255,20,take off a hat/cap,273,0.9731,0.9194
stgcn,joint_missing_mild,255,21,cheer up,274,0.9234,0.7445
stgcn,joint_missing_mild,255,22,hand waving,274,0.9063,0.6934
stgcn,joint_missing_mild,255,23,kicking something,276,0.9372,0.5399
stgcn,joint_missing_mild,255,24,reach into pocket,274,0.8358,0.5219
stgcn,joint_missing_mild,255,25,hopping (one foot jumping),275,0.9879,0.8836
stgcn,joint_missing_mild,255,26,jump up,276,0.9964,0.9529
stgcn,joint_missing_mild,255,27,make a phone call/answer phone,275,0.8679,0.4182
stgcn,joint_missing_mild,255,28,playing with phone/tablet,275,0.6824,0.2545
stgcn,joint_missing_mild,255,29,typing on a keyboard,275,0.7515,0.7491
stgcn,joint_missing_mild,255,30,pointing to something with finger,276,0.7585,0.3913
stgcn,joint_missing_mild,255,31,taking a selfie,276,0.8925,0.5942
stgcn,joint_missing_mild,255,32,check time (from watch),276,0.8829,0.5688
stgcn,joint_missing_mild,255,33,rub two hands together,276,0.8829,0.7681
stgcn,joint_missing_mild,255,34,nod head/bow,276,0.965,0.8659
stgcn,joint_missing_mild,255,35,shake head,275,0.9418,0.5855
stgcn,joint_missing_mild,255,36,wipe face,276,0.8321,0.558
stgcn,joint_missing_mild,255,37,salute,276,0.9179,0.6522
stgcn,joint_missing_mild,255,38,put the palms together,276,0.9408,0.4601
stgcn,joint_missing_mild,255,39,cross hands in front (say stop),276,0.8998,0.9565
stgcn,joint_missing_mild,255,40,sneeze/cough,276,0.7379,0.3623
stgcn,joint_missing_mild,255,41,staggering,276,0.9915,0.4529
stgcn,joint_missing_mild,255,42,falling,275,0.9855,0.92
stgcn,joint_missing_mild,255,43,touch head (headache),276,0.7657,0.4312
stgcn,joint_missing_mild,255,44,touch chest (stomachache/heart pain),276,0.9058,0.7464
stgcn,joint_missing_mild,255,45,touch back (backache),276,0.9263,0.6884
stgcn,joint_missing_mild,255,46,touch neck (neckache),276,0.8816,0.4964
stgcn,joint_missing_mild,255,47,nausea or vomiting condition,275,0.8509,0.7855
stgcn,joint_missing_mild,255,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.9527
stgcn,joint_missing_mild,255,49,punching/slapping other person,274,0.8662,0.5292
stgcn,joint_missing_mild,255,50,kicking other person,276,0.9167,0.3333
stgcn,joint_missing_mild,255,51,pushing other person,276,0.971,0.6196
stgcn,joint_missing_mild,255,52,pat on back of other person,276,0.942,0.4964
stgcn,joint_missing_mild,255,53,point finger at the other person,276,0.907,0.5326
stgcn,joint_missing_mild,255,54,hugging other person,274,0.9757,0.8467
stgcn,joint_missing_mild,255,55,giving something to other person,276,0.9348,0.721
stgcn,joint_missing_mild,255,56,touch other person's pocket,275,0.9285,0.7382
stgcn,joint_missing_mild,255,57,handshaking,276,0.9517,0.6739
stgcn,joint_missing_mild,255,58,walking towards each other,273,0.9939,0.1905
stgcn,joint_missing_mild,255,59,walking apart from each other,276,0.9626,0.9384
stgcn,joint_missing_mild,2026,0,drink water,274,0.8759,0.7701
stgcn,joint_missing_mild,2026,1,eat meal/snack,275,0.7394,0.5018
stgcn,joint_missing_mild,2026,2,brushing teeth,273,0.8584,0.293
stgcn,joint_missing_mild,2026,3,brushing hair,273,0.9048,0.6703
stgcn,joint_missing_mild,2026,4,drop,275,0.8315,0.5055
stgcn,joint_missing_mild,2026,5,pickup,275,0.9527,0.8873
stgcn,joint_missing_mild,2026,6,throw,275,0.9115,0.68
stgcn,joint_missing_mild,2026,7,sitting down,273,0.9658,0.9267
