model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcn,joint_missing_mild,57,handshaking,276,0.9517,0.4541,0.253,0.4976
stgcn,joint_missing_mild,58,walking towards each other,273,0.9939,0.3272,0.1616,0.6667
stgcn,joint_missing_mild,59,walking apart from each other,276,0.9626,0.9287,0.0586,0.0338
stgcn,limb_occlusion_mild,0,drink water,274,0.8759,0.7202,0.0138,0.1557
stgcn,limb_occlusion_mild,1,eat meal/snack,275,0.7394,0.5952,0.0357,0.1442
stgcn,limb_occlusion_mild,2,brushing teeth,273,0.8584,0.6593,0.016,0.199
stgcn,limb_occlusion_mild,3,brushing hair,273,0.9048,0.7973,0.0106,0.1074
stgcn,limb_occlusion_mild,4,drop,275,0.8315,0.7394,0.0084,0.0921
stgcn,limb_occlusion_mild,5,pickup,275,0.9527,0.8509,0.0145,0.1018
stgcn,limb_occlusion_mild,6,throw,275,0.9115,0.7903,0.0255,0.1212
stgcn,limb_occlusion_mild,7,sitting down,273,0.9658,0.8596,0.0092,0.1062
stgcn,limb_occlusion_mild,8,standing up (from sitting position),273,0.9805,0.823,0.0076,0.1575
stgcn,limb_occlusion_mild,9,clapping,273,0.7827,0.6654,0.0056,0.1172
stgcn,limb_occlusion_mild,10,reading,273,0.6032,0.514,0.0056,0.0891
stgcn,limb_occlusion_mild,11,writing,272,0.5245,0.4988,0.0439,0.0257
stgcn,limb_occlusion_mild,12,tear up paper,271,0.8954,0.8044,0.0242,0.091
stgcn,limb_occlusion_mild,13,wear jacket,275,0.983,0.9491,0.0145,0.0339
stgcn,limb_occlusion_mild,14,take off jacket,276,0.9589,0.8925,0.0111,0.0664
stgcn,limb_occlusion_mild,15,wear a shoe,273,0.6545,0.5238,0.0063,0.1306
stgcn,limb_occlusion_mild,16,take off a shoe,274,0.7798,0.6825,0.0146,0.0973
stgcn,limb_occlusion_mild,17,wear on glasses,273,0.906,0.8034,0.0118,0.1026
stgcn,limb_occlusion_mild,18,take off glasses,274,0.9343,0.8273,0.0056,0.1071
stgcn,limb_occlusion_mild,19,put on a hat/cap,272,0.9498,0.7917,0.0189,0.1581
