model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcnpp,limb_occlusion_moderate,1,eat meal/snack,275,0.7382,0.4473,0.0096,0.2909
stgcnpp,limb_occlusion_moderate,2,brushing teeth,273,0.8694,0.4847,0.0021,0.3846
stgcnpp,limb_occlusion_moderate,3,brushing hair,273,0.9267,0.6447,0.011,0.2821
stgcnpp,limb_occlusion_moderate,4,drop,275,0.8848,0.5745,0.0477,0.3103
stgcnpp,limb_occlusion_moderate,5,pickup,275,0.9576,0.4873,0.0725,0.4703
stgcnpp,limb_occlusion_moderate,6,throw,275,0.9115,0.5976,0.0213,0.3139
stgcnpp,limb_occlusion_moderate,7,sitting down,273,0.9707,0.6825,0.0681,0.2882
stgcnpp,limb_occlusion_moderate,8,standing up (from sitting position),273,0.9792,0.7949,0.1374,0.1844
stgcnpp,limb_occlusion_moderate,9,clapping,273,0.812,0.4664,0.0208,0.3455
stgcnpp,limb_occlusion_moderate,10,reading,273,0.5873,0.4884,0.0486,0.0989
stgcnpp,limb_occlusion_moderate,11,writing,272,0.5907,0.4706,0.0355,0.1201
stgcnpp,limb_occlusion_moderate,12,tear up paper,271,0.9139,0.5277,0.0258,0.3862
stgcnpp,limb_occlusion_moderate,13,wear jacket,275,0.983,0.7127,0.0595,0.2703
stgcnpp,limb_occlusion_moderate,14,take off jacket,276,0.9734,0.7464,0.0297,0.2271
stgcnpp,limb_occlusion_moderate,15,wear a shoe,273,0.7131,0.3553,0.1094,0.3578
stgcnpp,limb_occlusion_moderate,16,take off a shoe,274,0.7798,0.5487,0.0366,0.2311
stgcnpp,limb_occlusion_moderate,17,wear on glasses,273,0.9206,0.685,0.0194,0.2357
stgcnpp,limb_occlusion_moderate,18,take off glasses,274,0.9526,0.7324,0.0042,0.2202
stgcnpp,limb_occlusion_moderate,19,put on a hat/cap,272,0.9681,0.6127,0.0754,0.3554
stgcnpp,limb_occlusion_moderate,20,take off a hat/cap,273,0.9744,0.6654,0.0153,0.3089
stgcnpp,limb_occlusion_moderate,21,cheer up,274,0.9367,0.5912,0.0456,0.3455
stgcnpp,limb_occlusion_moderate,22,hand waving,274,0.9221,0.6338,0.0152,0.2883
stgcnpp,limb_occlusion_moderate,23,kicking something,276,0.9432,0.7585,0.0171,0.1848
stgcnpp,limb_occlusion_moderate,24,reach into pocket,274,0.8285,0.5973,0.0297,0.2311
stgcnpp,limb_occlusion_moderate,25,hopping (one foot jumping),275,0.9879,0.8679,0.0934,0.12
stgcnpp,limb_occlusion_moderate,26,jump up,276,0.9988,0.7246,0.0986,0.2742
stgcnpp,limb_occlusion_moderate,27,make a phone call/answer phone,275,0.8933,0.5818,0.0063,0.3115
stgcnpp,limb_occlusion_moderate,28,playing with phone/tablet,275,0.7321,0.4655,0.041,0.2667
stgcnpp,limb_occlusion_moderate,29,typing on a keyboard,275,0.7309,0.5261,0.0294,0.2048
stgcnpp,limb_occlusion_moderate,30,pointing to something with finger,276,0.7766,0.494,0.0021,0.2826
stgcnpp,limb_occlusion_moderate,31,taking a selfie,276,0.8925,0.5942,0.0283,0.2983
stgcnpp,limb_occlusion_moderate,32,check time (from watch),276,0.8973,0.5048,0.0146,0.3925
stgcnpp,limb_occlusion_moderate,33,rub two hands together,276,0.8913,0.5507,0.0523,0.3406
stgcnpp,limb_occlusion_moderate,34,nod head/bow,276,0.9674,0.5688,0.0036,0.3986
stgcnpp,limb_occlusion_moderate,35,shake head,275,0.9467,0.5818,0.0063,0.3648
stgcnpp,limb_occlusion_moderate,36,wipe face,276,0.8829,0.4577,0.0254,0.4251
stgcnpp,limb_occlusion_moderate,37,salute,276,0.9275,0.5242,0.0182,0.4034
stgcnpp,limb_occlusion_moderate,38,put the palms together,276,0.9348,0.5157,0.0562,0.4191
stgcnpp,limb_occlusion_moderate,39,cross hands in front (say stop),276,0.936,0.3261,0.0357,0.6099
stgcnpp,limb_occlusion_moderate,40,sneeze/cough,276,0.7633,0.3659,0.0427,0.3973
stgcnpp,limb_occlusion_moderate,41,staggering,276,0.9952,0.4952,0.0267,0.5
stgcnpp,limb_occlusion_moderate,42,falling,275,0.9891,0.6909,0.062,0.2982
stgcnpp,limb_occlusion_moderate,43,touch head (headache),276,0.8164,0.4493,0.0251,0.3671
stgcnpp,limb_occlusion_moderate,44,touch chest (stomachache/heart pain),276,0.9312,0.6824,0.0146,0.2488
stgcnpp,limb_occlusion_moderate,45,touch back (backache),276,0.9312,0.7548,0.0317,0.1763
stgcnpp,limb_occlusion_moderate,46,touch neck (neckache),276,0.843,0.5435,0.0126,0.2995
stgcnpp,limb_occlusion_moderate,47,nausea or vomiting condition,275,0.8448,0.3745,0.0192,0.4703
stgcnpp,limb_occlusion_moderate,48,use a fan (with hand or paper)/feeling warm,275,0.9224,0.623,0.0076,0.2994
stgcnpp,limb_occlusion_moderate,49,punching/slapping other person,274,0.9027,0.5036,0.0587,0.399
stgcnpp,limb_occlusion_moderate,50,kicking other person,276,0.936,0.622,0.0712,0.314
stgcnpp,limb_occlusion_moderate,51,pushing other person,276,0.9601,0.6461,0.0545,0.314
stgcnpp,limb_occlusion_moderate,52,pat on back of other person,276,0.9239,0.7089,0.0407,0.215
stgcnpp,limb_occlusion_moderate,53,point finger at the other person,276,0.9058,0.3333,0.089,0.5725
stgcnpp,limb_occlusion_moderate,54,hugging other person,274,0.983,0.8054,0.0152,0.1776
stgcnpp,limb_occlusion_moderate,55,giving something to other person,276,0.9312,0.6111,0.0151,0.32
stgcnpp,limb_occlusion_moderate,56,touch other person's pocket,275,0.9394,0.7248,0.0455,0.2145
stgcnpp,limb_occlusion_moderate,57,handshaking,276,0.9577,0.6208,0.0209,0.337
stgcnpp,limb_occlusion_moderate,58,walking towards each other,273,0.9951,0.4969,0.0859,0.4982
stgcnpp,limb_occlusion_moderate,59,walking apart from each other,276,0.9686,0.8261,0.1037,0.1425
stgcnpp,coord_noise_moderate,0,drink water,274,0.8637,0.0,0.0,0.8637
stgcnpp,coord_noise_moderate,1,eat meal/snack,275,0.7382,0.0291,0.0284,0.7091
stgcnpp,coord_noise_moderate,2,brushing teeth,273,0.8694,0.0061,0.0106,0.8632
stgcnpp,coord_noise_moderate,3,brushing hair,273,0.9267,0.0806,0.1174,0.8462
stgcnpp,coord_noise_moderate,4,drop,275,0.8848,0.023,0.0219,0.8618
stgcnpp,coord_noise_moderate,5,pickup,275,0.9576,0.6958,0.171,0.2618
stgcnpp,coord_noise_moderate,6,throw,275,0.9115,0.0376,0.0462,0.8739
stgcnpp,coord_noise_moderate,7,sitting down,273,0.9707,0.674,0.2309,0.2967
stgcnpp,coord_noise_moderate,8,standing up (from sitting position),273,0.9792,0.2784,0.1267,0.7009
stgcnpp,coord_noise_moderate,9,clapping,273,0.812,0.0269,0.0249,0.7851
stgcnpp,coord_noise_moderate,10,reading,273,0.5873,0.0342,0.0346,0.5531
stgcnpp,coord_noise_moderate,11,writing,272,0.5907,0.1863,0.2116,0.4044
stgcnpp,coord_noise_moderate,12,tear up paper,271,0.9139,0.0049,0.0056,0.909
stgcnpp,coord_noise_moderate,13,wear jacket,275,0.983,0.9018,0.1177,0.0812
stgcnpp,coord_noise_moderate,14,take off jacket,276,0.9734,0.1316,0.103,0.8418
stgcnpp,coord_noise_moderate,15,wear a shoe,273,0.7131,0.3785,0.1321,0.3346
stgcnpp,coord_noise_moderate,16,take off a shoe,274,0.7798,0.2689,0.0152,0.5109
stgcnpp,coord_noise_moderate,17,wear on glasses,273,0.9206,0.0452,0.0428,0.8755
stgcnpp,coord_noise_moderate,18,take off glasses,274,0.9526,0.0195,0.0165,0.9331
stgcnpp,coord_noise_moderate,19,put on a hat/cap,272,0.9681,0.0233,0.0093,0.9449
stgcnpp,coord_noise_moderate,20,take off a hat/cap,273,0.9744,0.0024,0.0042,0.9719
stgcnpp,coord_noise_moderate,21,cheer up,274,0.9367,0.1277,0.0222,0.809
stgcnpp,coord_noise_moderate,22,hand waving,274,0.9221,0.2044,0.0219,0.7178
stgcnpp,coord_noise_moderate,23,kicking something,276,0.9432,0.1643,0.1425,0.779
stgcnpp,coord_noise_moderate,24,reach into pocket,274,0.8285,0.0024,0.0021,0.826
stgcnpp,coord_noise_moderate,25,hopping (one foot jumping),275,0.9879,0.0255,0.0289,0.9624
stgcnpp,coord_noise_moderate,26,jump up,276,0.9988,0.0592,0.0566,0.9396
stgcnpp,coord_noise_moderate,27,make a phone call/answer phone,275,0.8933,0.0,0.0,0.8933
stgcnpp,coord_noise_moderate,28,playing with phone/tablet,275,0.7321,0.0133,0.0231,0.7188
stgcnpp,coord_noise_moderate,29,typing on a keyboard,275,0.7309,0.3406,0.1407,0.3903
stgcnpp,coord_noise_moderate,30,pointing to something with finger,276,0.7766,0.0978,0.0096,0.6787
stgcnpp,coord_noise_moderate,31,taking a selfie,276,0.8925,0.3925,0.0798,0.5
stgcnpp,coord_noise_moderate,32,check time (from watch),276,0.8973,0.0266,0.0116,0.8708
stgcnpp,coord_noise_moderate,33,rub two hands together,276,0.8913,0.0121,0.0116,0.8792
stgcnpp,coord_noise_moderate,34,nod head/bow,276,0.9674,0.5326,0.3263,0.4348
stgcnpp,coord_noise_moderate,35,shake head,275,0.9467,0.1491,0.189,0.7976
stgcnpp,coord_noise_moderate,36,wipe face,276,0.8829,0.0097,0.0137,0.8732
stgcnpp,coord_noise_moderate,37,salute,276,0.9275,0.0471,0.0548,0.8804
stgcnpp,coord_noise_moderate,38,put the palms together,276,0.9348,0.0242,0.0212,0.9106
stgcnpp,coord_noise_moderate,39,cross hands in front (say stop),276,0.936,0.1147,0.1028,0.8213
stgcnpp,coord_noise_moderate,40,sneeze/cough,276,0.7633,0.0024,0.0042,0.7609
stgcnpp,coord_noise_moderate,41,staggering,276,0.9952,0.0737,0.0404,0.9215
stgcnpp,coord_noise_moderate,42,falling,275,0.9891,0.6873,0.1626,0.3018
stgcnpp,coord_noise_moderate,43,touch head (headache),276,0.8164,0.006,0.0105,0.8104
stgcnpp,coord_noise_moderate,44,touch chest (stomachache/heart pain),276,0.9312,0.0918,0.069,0.8394
stgcnpp,coord_noise_moderate,45,touch back (backache),276,0.9312,0.1413,0.2141,0.7899
stgcnpp,coord_noise_moderate,46,touch neck (neckache),276,0.843,0.029,0.0188,0.814
stgcnpp,coord_noise_moderate,47,nausea or vomiting condition,275,0.8448,0.5576,0.099,0.2873
stgcnpp,coord_noise_moderate,48,use a fan (with hand or paper)/feeling warm,275,0.9224,0.9394,0.0418,-0.017
stgcnpp,coord_noise_moderate,49,punching/slapping other person,274,0.9027,0.0146,0.0222,0.8881
stgcnpp,coord_noise_moderate,50,kicking other person,276,0.936,0.006,0.0105,0.93
stgcnpp,coord_noise_moderate,51,pushing other person,276,0.9601,0.0,0.0,0.9601
stgcnpp,coord_noise_moderate,52,pat on back of other person,276,0.9239,0.1039,0.0467,0.82
stgcnpp,coord_noise_moderate,53,point finger at the other person,276,0.9058,0.0882,0.0703,0.8176
stgcnpp,coord_noise_moderate,54,hugging other person,274,0.983,0.2774,0.3679,0.7056
stgcnpp,coord_noise_moderate,55,giving something to other person,276,0.9312,0.0097,0.0137,0.9215
stgcnpp,coord_noise_moderate,56,touch other person's pocket,275,0.9394,0.1648,0.2398,0.7745
stgcnpp,coord_noise_moderate,57,handshaking,276,0.9577,0.0181,0.0226,0.9396
stgcnpp,coord_noise_moderate,58,walking towards each other,273,0.9951,0.4005,0.0575,0.5946
stgcnpp,coord_noise_moderate,59,walking apart from each other,276,0.9686,0.2295,0.2562,0.7391
stgcnpp,frame_missing_moderate,0,drink water,274,0.8637,0.7372,0.0203,0.1265
stgcnpp,frame_missing_moderate,1,eat meal/snack,275,0.7382,0.5733,0.0305,0.1648
stgcnpp,frame_missing_moderate,2,brushing teeth,273,0.8694,0.7631,0.0405,0.1062
stgcnpp,frame_missing_moderate,3,brushing hair,273,0.9267,0.7937,0.0202,0.1331
stgcnpp,frame_missing_moderate,4,drop,275,0.8848,0.8327,0.0673,0.0521
stgcnpp,frame_missing_moderate,5,pickup,275,0.9576,0.8521,0.0183,0.1055
stgcnpp,frame_missing_moderate,6,throw,275,0.9115,0.817,0.033,0.0945
stgcnpp,frame_missing_moderate,7,sitting down,273,0.9707,0.9365,0.0184,0.0342
stgcnpp,frame_missing_moderate,8,standing up (from sitting position),273,0.9792,0.9524,0.0037,0.0269
stgcnpp,frame_missing_moderate,9,clapping,273,0.812,0.696,0.0073,0.116
stgcnpp,frame_missing_moderate,10,reading,273,0.5873,0.453,0.0569,0.1343
stgcnpp,frame_missing_moderate,11,writing,272,0.5907,0.44,0.0642,0.1507
stgcnpp,frame_missing_moderate,12,tear up paper,271,0.9139,0.8118,0.0616,0.1021
stgcnpp,frame_missing_moderate,13,wear jacket,275,0.983,0.92,0.0131,0.063
stgcnpp,frame_missing_moderate,14,take off jacket,276,0.9734,0.9275,0.0254,0.0459
stgcnpp,frame_missing_moderate,15,wear a shoe,273,0.7131,0.4286,0.0845,0.2845
stgcnpp,frame_missing_moderate,16,take off a shoe,274,0.7798,0.5998,0.0471,0.18
stgcnpp,frame_missing_moderate,17,wear on glasses,273,0.9206,0.6935,0.0772,0.2271
stgcnpp,frame_missing_moderate,18,take off glasses,274,0.9526,0.7056,0.0435,0.247
stgcnpp,frame_missing_moderate,19,put on a hat/cap,272,0.9681,0.8088,0.0327,0.1593
stgcnpp,frame_missing_moderate,20,take off a hat/cap,273,0.9744,0.7888,0.0112,0.1856
stgcnpp,frame_missing_moderate,21,cheer up,274,0.9367,0.9282,0.0138,0.0085
stgcnpp,frame_missing_moderate,22,hand waving,274,0.9221,0.8601,0.0056,0.062
stgcnpp,frame_missing_moderate,23,kicking something,276,0.9432,0.9118,0.0272,0.0314
stgcnpp,frame_missing_moderate,24,reach into pocket,274,0.8285,0.5791,0.0673,0.2494
stgcnpp,frame_missing_moderate,25,hopping (one foot jumping),275,0.9879,0.9442,0.021,0.0436
stgcnpp,frame_missing_moderate,26,jump up,276,0.9988,0.9626,0.0105,0.0362
stgcnpp,frame_missing_moderate,27,make a phone call/answer phone,275,0.8933,0.5745,0.0167,0.3188
stgcnpp,frame_missing_moderate,28,playing with phone/tablet,275,0.7321,0.6315,0.0389,0.1006
stgcnpp,frame_missing_moderate,29,typing on a keyboard,275,0.7309,0.6752,0.0434,0.0558
stgcnpp,frame_missing_moderate,30,pointing to something with finger,276,0.7766,0.8128,0.0274,-0.0362
stgcnpp,frame_missing_moderate,31,taking a selfie,276,0.8925,0.7319,0.0836,0.1606
stgcnpp,frame_missing_moderate,32,check time (from watch),276,0.8973,0.7802,0.0137,0.1171
stgcnpp,frame_missing_moderate,33,rub two hands together,276,0.8913,0.7476,0.0365,0.1437
stgcnpp,frame_missing_moderate,34,nod head/bow,276,0.9674,0.9481,0.0146,0.0193
stgcnpp,frame_missing_moderate,35,shake head,275,0.9467,0.84,0.0637,0.1067
stgcnpp,frame_missing_moderate,36,wipe face,276,0.8829,0.686,0.02,0.1969
stgcnpp,frame_missing_moderate,37,salute,276,0.9275,0.9046,0.0342,0.0229
stgcnpp,frame_missing_moderate,38,put the palms together,276,0.9348,0.8792,0.0281,0.0556
stgcnpp,frame_missing_moderate,39,cross hands in front (say stop),276,0.936,0.814,0.0179,0.122
stgcnpp,frame_missing_moderate,40,sneeze/cough,276,0.7633,0.5954,0.0241,0.1679
stgcnpp,frame_missing_moderate,41,staggering,276,0.9952,0.8297,0.0619,0.1655
stgcnpp,frame_missing_moderate,42,falling,275,0.9891,0.9782,0.0096,0.0109
stgcnpp,frame_missing_moderate,43,touch head (headache),276,0.8164,0.6498,0.0518,0.1667
stgcnpp,frame_missing_moderate,44,touch chest (stomachache/heart pain),276,0.9312,0.8889,0.0186,0.0423
stgcnpp,frame_missing_moderate,45,touch back (backache),276,0.9312,0.8394,0.0489,0.0918
stgcnpp,frame_missing_moderate,46,touch neck (neckache),276,0.843,0.5543,0.0261,0.2886
stgcnpp,frame_missing_moderate,47,nausea or vomiting condition,275,0.8448,0.6521,0.0273,0.1927
stgcnpp,frame_missing_moderate,48,use a fan (with hand or paper)/feeling warm,275,0.9224,0.88,0.0327,0.0424
stgcnpp,frame_missing_moderate,49,punching/slapping other person,274,0.9027,0.6484,0.0117,0.2543
stgcnpp,frame_missing_moderate,50,kicking other person,276,0.936,0.8889,0.0055,0.0471
stgcnpp,frame_missing_moderate,51,pushing other person,276,0.9601,0.7053,0.0528,0.2548
stgcnpp,frame_missing_moderate,52,pat on back of other person,276,0.9239,0.7995,0.0586,0.1244
stgcnpp,frame_missing_moderate,53,point finger at the other person,276,0.9058,0.7379,0.0871,0.1679
stgcnpp,frame_missing_moderate,54,hugging other person,274,0.983,0.9611,0.0111,0.0219
stgcnpp,frame_missing_moderate,55,giving something to other person,276,0.9312,0.8418,0.0221,0.0894
stgcnpp,frame_missing_moderate,56,touch other person's pocket,275,0.9394,0.7988,0.0346,0.1406
stgcnpp,frame_missing_moderate,57,handshaking,276,0.9577,0.8297,0.0382,0.128
stgcnpp,frame_missing_moderate,58,walking towards each other,273,0.9951,0.9438,0.0181,0.0513
stgcnpp,frame_missing_moderate,59,walking apart from each other,276,0.9686,0.9746,0.0063,-0.006
stgcnpp,mixed_moderate,0,drink water,274,0.8637,0.1788,0.0146,0.6849
stgcnpp,mixed_moderate,1,eat meal/snack,275,0.7382,0.1418,0.0167,0.5964
stgcnpp,mixed_moderate,2,brushing teeth,273,0.8694,0.1477,0.0471,0.7216
stgcnpp,mixed_moderate,3,brushing hair,273,0.9267,0.2186,0.0796,0.7082
stgcnpp,mixed_moderate,4,drop,275,0.8848,0.1745,0.0323,0.7103
stgcnpp,mixed_moderate,5,pickup,275,0.9576,0.2352,0.0338,0.7224
stgcnpp,mixed_moderate,6,throw,275,0.9115,0.1842,0.0111,0.7273
stgcnpp,mixed_moderate,7,sitting down,273,0.9707,0.293,0.0581,0.6777
stgcnpp,mixed_moderate,8,standing up (from sitting position),273,0.9792,0.2882,0.033,0.6911
stgcnpp,mixed_moderate,9,clapping,273,0.812,0.177,0.0181,0.6349
stgcnpp,mixed_moderate,10,reading,273,0.5873,0.116,0.0238,0.4713
stgcnpp,mixed_moderate,11,writing,272,0.5907,0.2598,0.0785,0.3309
stgcnpp,mixed_moderate,12,tear up paper,271,0.9139,0.155,0.0258,0.7589
stgcnpp,mixed_moderate,13,wear jacket,275,0.983,0.5248,0.0778,0.4582
stgcnpp,mixed_moderate,14,take off jacket,276,0.9734,0.2536,0.0454,0.7198
stgcnpp,mixed_moderate,15,wear a shoe,273,0.7131,0.1685,0.0446,0.5446
stgcnpp,mixed_moderate,16,take off a shoe,274,0.7798,0.2165,0.0117,0.5633
stgcnpp,mixed_moderate,17,wear on glasses,273,0.9206,0.1575,0.0485,0.7631
stgcnpp,mixed_moderate,18,take off glasses,274,0.9526,0.1995,0.0264,0.753
stgcnpp,mixed_moderate,19,put on a hat/cap,272,0.9681,0.2206,0.0205,0.7475
stgcnpp,mixed_moderate,20,take off a hat/cap,273,0.9744,0.2637,0.024,0.7106
stgcnpp,mixed_moderate,21,cheer up,274,0.9367,0.3418,0.0896,0.5949
stgcnpp,mixed_moderate,22,hand waving,274,0.9221,0.3674,0.041,0.5547
stgcnpp,mixed_moderate,23,kicking something,276,0.9432,0.1703,0.0202,0.7729
stgcnpp,mixed_moderate,24,reach into pocket,274,0.8285,0.135,0.0193,0.6934
stgcnpp,mixed_moderate,25,hopping (one foot jumping),275,0.9879,0.2255,0.0311,0.7624
stgcnpp,mixed_moderate,26,jump up,276,0.9988,0.2633,0.0482,0.7355
stgcnpp,mixed_moderate,27,make a phone call/answer phone,275,0.8933,0.1358,0.0021,0.7576
stgcnpp,mixed_moderate,28,playing with phone/tablet,275,0.7321,0.1939,0.0808,0.5382
stgcnpp,mixed_moderate,29,typing on a keyboard,275,0.7309,0.3418,0.041,0.3891
stgcnpp,mixed_moderate,30,pointing to something with finger,276,0.7766,0.1558,0.0274,0.6208
stgcnpp,mixed_moderate,31,taking a selfie,276,0.8925,0.2899,0.0786,0.6027
stgcnpp,mixed_moderate,32,check time (from watch),276,0.8973,0.1703,0.0096,0.7271
stgcnpp,mixed_moderate,33,rub two hands together,276,0.8913,0.1377,0.0322,0.7536
stgcnpp,mixed_moderate,34,nod head/bow,276,0.9674,0.308,0.0866,0.6594
stgcnpp,mixed_moderate,35,shake head,275,0.9467,0.1636,0.0504,0.783
stgcnpp,mixed_moderate,36,wipe face,276,0.8829,0.2114,0.0822,0.6715
stgcnpp,mixed_moderate,37,salute,276,0.9275,0.1775,0.0036,0.75
stgcnpp,mixed_moderate,38,put the palms together,276,0.9348,0.1401,0.0146,0.7947
stgcnpp,mixed_moderate,39,cross hands in front (say stop),276,0.936,0.2126,0.0167,0.7234
stgcnpp,mixed_moderate,40,sneeze/cough,276,0.7633,0.0918,0.0055,0.6715
stgcnpp,mixed_moderate,41,staggering,276,0.9952,0.1389,0.0111,0.8563
stgcnpp,mixed_moderate,42,falling,275,0.9891,0.2824,0.0117,0.7067
stgcnpp,mixed_moderate,43,touch head (headache),276,0.8164,0.1449,0.0418,0.6715
stgcnpp,mixed_moderate,44,touch chest (stomachache/heart pain),276,0.9312,0.3164,0.1239,0.6147
stgcnpp,mixed_moderate,45,touch back (backache),276,0.9312,0.2295,0.0932,0.7017
stgcnpp,mixed_moderate,46,touch neck (neckache),276,0.843,0.1147,0.0127,0.7283
stgcnpp,mixed_moderate,47,nausea or vomiting condition,275,0.8448,0.3188,0.0292,0.5261
stgcnpp,mixed_moderate,48,use a fan (with hand or paper)/feeling warm,275,0.9224,0.6691,0.0681,0.2533
stgcnpp,mixed_moderate,49,punching/slapping other person,274,0.9027,0.1022,0.0132,0.8005
stgcnpp,mixed_moderate,50,kicking other person,276,0.936,0.1558,0.0126,0.7802
stgcnpp,mixed_moderate,51,pushing other person,276,0.9601,0.1184,0.0091,0.8418
stgcnpp,mixed_moderate,52,pat on back of other person,276,0.9239,0.2488,0.0377,0.6751
stgcnpp,mixed_moderate,53,point finger at the other person,276,0.9058,0.122,0.0042,0.7838
stgcnpp,mixed_moderate,54,hugging other person,274,0.983,0.4246,0.1636,0.5584
stgcnpp,mixed_moderate,55,giving something to other person,276,0.9312,0.1558,0.0072,0.7754
stgcnpp,mixed_moderate,56,touch other person's pocket,275,0.9394,0.2061,0.0935,0.7333
stgcnpp,mixed_moderate,57,handshaking,276,0.9577,0.2089,0.0707,0.7488
stgcnpp,mixed_moderate,58,walking towards each other,273,0.9951,0.1905,0.0277,0.8046
stgcnpp,mixed_moderate,59,walking apart from each other,276,0.9686,0.256,0.0482,0.7126
stgcnpp,joint_missing_severe,0,drink water,274,0.8637,0.0049,0.0084,0.8589
stgcnpp,joint_missing_severe,1,eat meal/snack,275,0.7382,0.0012,0.0021,0.737
stgcnpp,joint_missing_severe,2,brushing teeth,273,0.8694,0.0195,0.0338,0.8498
stgcnpp,joint_missing_severe,3,brushing hair,273,0.9267,0.0867,0.1286,0.84
stgcnpp,joint_missing_severe,4,drop,275,0.8848,0.0,0.0,0.8848
stgcnpp,joint_missing_severe,5,pickup,275,0.9576,0.0,0.0,0.9576
stgcnpp,joint_missing_severe,6,throw,275,0.9115,0.0024,0.0021,0.9091
stgcnpp,joint_missing_severe,7,sitting down,273,0.9707,0.0012,0.0021,0.9695
stgcnpp,joint_missing_severe,8,standing up (from sitting position),273,0.9792,0.0012,0.0021,0.978
stgcnpp,joint_missing_severe,9,clapping,273,0.812,0.0159,0.0129,0.7961
stgcnpp,joint_missing_severe,10,reading,273,0.5873,0.0244,0.0173,0.5629
stgcnpp,joint_missing_severe,11,writing,272,0.5907,0.201,0.1781,0.3897
stgcnpp,joint_missing_severe,12,tear up paper,271,0.9139,0.0025,0.0043,0.9114
stgcnpp,joint_missing_severe,13,wear jacket,275,0.983,0.3333,0.2048,0.6497
stgcnpp,joint_missing_severe,14,take off jacket,276,0.9734,0.0072,0.0126,0.9662
stgcnpp,joint_missing_severe,15,wear a shoe,273,0.7131,0.0745,0.0707,0.6386
stgcnpp,joint_missing_severe,16,take off a shoe,274,0.7798,0.0,0.0,0.7798
stgcnpp,joint_missing_severe,17,wear on glasses,273,0.9206,0.0061,0.0056,0.9145
stgcnpp,joint_missing_severe,18,take off glasses,274,0.9526,0.0073,0.0097,0.9453
stgcnpp,joint_missing_severe,19,put on a hat/cap,272,0.9681,0.0025,0.0042,0.9657
stgcnpp,joint_missing_severe,20,take off a hat/cap,273,0.9744,0.0061,0.0056,0.9683
stgcnpp,joint_missing_severe,21,cheer up,274,0.9367,0.0328,0.0285,0.9039
stgcnpp,joint_missing_severe,22,hand waving,274,0.9221,0.146,0.1625,0.7762
stgcnpp,joint_missing_severe,23,kicking something,276,0.9432,0.0,0.0,0.9432
stgcnpp,joint_missing_severe,24,reach into pocket,274,0.8285,0.0024,0.0042,0.826
stgcnpp,joint_missing_severe,25,hopping (one foot jumping),275,0.9879,0.0012,0.0021,0.9867
stgcnpp,joint_missing_severe,26,jump up,276,0.9988,0.0,0.0,0.9988
stgcnpp,joint_missing_severe,27,make a phone call/answer phone,275,0.8933,0.0,0.0,0.8933
stgcnpp,joint_missing_severe,28,playing with phone/tablet,275,0.7321,0.2667,0.377,0.4655
stgcnpp,joint_missing_severe,29,typing on a keyboard,275,0.7309,0.4061,0.1683,0.3248
stgcnpp,joint_missing_severe,30,pointing to something with finger,276,0.7766,0.029,0.0439,0.7476
stgcnpp,joint_missing_severe,31,taking a selfie,276,0.8925,0.2415,0.1341,0.651
stgcnpp,joint_missing_severe,32,check time (from watch),276,0.8973,0.0,0.0,0.8973
stgcnpp,joint_missing_severe,33,rub two hands together,276,0.8913,0.0314,0.0281,0.8599
stgcnpp,joint_missing_severe,34,nod head/bow,276,0.9674,0.0097,0.0137,0.9577
stgcnpp,joint_missing_severe,35,shake head,275,0.9467,0.0012,0.0021,0.9455
stgcnpp,joint_missing_severe,36,wipe face,276,0.8829,0.2572,0.3192,0.6256
stgcnpp,joint_missing_severe,37,salute,276,0.9275,0.0,0.0,0.9275
stgcnpp,joint_missing_severe,38,put the palms together,276,0.9348,0.0036,0.0036,0.9312
stgcnpp,joint_missing_severe,39,cross hands in front (say stop),276,0.936,0.0121,0.0116,0.9239
stgcnpp,joint_missing_severe,40,sneeze/cough,276,0.7633,0.0036,0.0036,0.7597
stgcnpp,joint_missing_severe,41,staggering,276,0.9952,0.0,0.0,0.9952
stgcnpp,joint_missing_severe,42,falling,275,0.9891,0.0012,0.0021,0.9879
stgcnpp,joint_missing_severe,43,touch head (headache),276,0.8164,0.0109,0.0063,0.8056
stgcnpp,joint_missing_severe,44,touch chest (stomachache/heart pain),276,0.9312,0.1256,0.1616,0.8056
stgcnpp,joint_missing_severe,45,touch back (backache),276,0.9312,0.0169,0.0293,0.9143
stgcnpp,joint_missing_severe,46,touch neck (neckache),276,0.843,0.0012,0.0021,0.8418
stgcnpp,joint_missing_severe,47,nausea or vomiting condition,275,0.8448,0.3636,0.0419,0.4812
stgcnpp,joint_missing_severe,48,use a fan (with hand or paper)/feeling warm,275,0.9224,0.5661,0.2818,0.3564
stgcnpp,joint_missing_severe,49,punching/slapping other person,274,0.9027,0.0,0.0,0.9027
stgcnpp,joint_missing_severe,50,kicking other person,276,0.936,0.0,0.0,0.936
stgcnpp,joint_missing_severe,51,pushing other person,276,0.9601,0.0,0.0,0.9601
stgcnpp,joint_missing_severe,52,pat on back of other person,276,0.9239,0.0809,0.1309,0.843
stgcnpp,joint_missing_severe,53,point finger at the other person,276,0.9058,0.0,0.0,0.9058
stgcnpp,joint_missing_severe,54,hugging other person,274,0.983,0.3248,0.4497,0.6582
stgcnpp,joint_missing_severe,55,giving something to other person,276,0.9312,0.0,0.0,0.9312
