model,condition,class_id,action,support,clean_accuracy,mean_accuracy,absolute_drop
stgcnpp,clean,8,standing up (from sitting position),273,0.9792,0.9792,0.0
stgcnpp,clean,9,clapping,273,0.812,0.812,0.0
stgcnpp,joint_missing_mild,58,walking towards each other,273,0.9951,0.3773,0.6178
stgcnpp,joint_missing_mild,35,shake head,275,0.9467,0.3552,0.5915
stgcnpp,joint_missing_mild,50,kicking other person,276,0.936,0.3877,0.5483
stgcnpp,joint_missing_mild,49,punching/slapping other person,274,0.9027,0.4392,0.4635
stgcnpp,joint_missing_mild,53,point finger at the other person,276,0.9058,0.4457,0.4601
stgcnpp,joint_missing_mild,51,pushing other person,276,0.9601,0.5157,0.4444
stgcnpp,joint_missing_mild,41,staggering,276,0.9952,0.5833,0.4118
stgcnpp,joint_missing_mild,46,touch neck (neckache),276,0.843,0.4457,0.3973
stgcnpp,joint_missing_mild,45,touch back (backache),276,0.9312,0.593,0.3382
stgcnpp,joint_missing_mild,57,handshaking,276,0.9577,0.6304,0.3273
stgcnpp,limb_occlusion_mild,53,point finger at the other person,276,0.9058,0.6135,0.2923
stgcnpp,limb_occlusion_mild,39,cross hands in front (say stop),276,0.936,0.663,0.2729
stgcnpp,limb_occlusion_mild,47,nausea or vomiting condition,275,0.8448,0.5879,0.257
stgcnpp,limb_occlusion_mild,40,sneeze/cough,276,0.7633,0.5483,0.215
stgcnpp,limb_occlusion_mild,58,walking towards each other,273,0.9951,0.7888,0.2063
stgcnpp,limb_occlusion_mild,37,salute,276,0.9275,0.7295,0.1981
stgcnpp,limb_occlusion_mild,43,touch head (headache),276,0.8164,0.6196,0.1969
stgcnpp,limb_occlusion_mild,2,brushing teeth,273,0.8694,0.6728,0.1966
stgcnpp,limb_occlusion_mild,36,wipe face,276,0.8829,0.6872,0.1957
stgcnpp,limb_occlusion_mild,34,nod head/bow,276,0.9674,0.7742,0.1932
stgcnpp,coord_noise_mild,35,shake head,275,0.9467,0.1018,0.8448
stgcnpp,coord_noise_mild,36,wipe face,276,0.8829,0.1425,0.7403
stgcnpp,coord_noise_mild,51,pushing other person,276,0.9601,0.337,0.6232
stgcnpp,coord_noise_mild,45,touch back (backache),276,0.9312,0.3792,0.5519
stgcnpp,coord_noise_mild,28,playing with phone/tablet,275,0.7321,0.2424,0.4897
stgcnpp,coord_noise_mild,33,rub two hands together,276,0.8913,0.4155,0.4758
stgcnpp,coord_noise_mild,43,touch head (headache),276,0.8164,0.3599,0.4565
stgcnpp,coord_noise_mild,10,reading,273,0.5873,0.138,0.4493
stgcnpp,coord_noise_mild,46,touch neck (neckache),276,0.843,0.401,0.442
stgcnpp,coord_noise_mild,12,tear up paper,271,0.9139,0.4982,0.4157
stgcnpp,frame_missing_mild,15,wear a shoe,273,0.7131,0.5287,0.1844
stgcnpp,frame_missing_mild,27,make a phone call/answer phone,275,0.8933,0.7176,0.1758
stgcnpp,frame_missing_mild,24,reach into pocket,274,0.8285,0.719,0.1095
stgcnpp,frame_missing_mild,46,touch neck (neckache),276,0.843,0.7379,0.1051
stgcnpp,frame_missing_mild,53,point finger at the other person,276,0.9058,0.8213,0.0845
stgcnpp,frame_missing_mild,49,punching/slapping other person,274,0.9027,0.8187,0.0839
stgcnpp,frame_missing_mild,16,take off a shoe,274,0.7798,0.6983,0.0815
stgcnpp,frame_missing_mild,18,take off glasses,274,0.9526,0.8759,0.0766
stgcnpp,frame_missing_mild,36,wipe face,276,0.8829,0.8068,0.0761
stgcnpp,frame_missing_mild,11,writing,272,0.5907,0.5172,0.0735
stgcnpp,mixed_mild,35,shake head,275,0.9467,0.2776,0.6691
stgcnpp,mixed_mild,51,pushing other person,276,0.9601,0.337,0.6232
stgcnpp,mixed_mild,41,staggering,276,0.9952,0.413,0.5821
stgcnpp,mixed_mild,58,walking towards each other,273,0.9951,0.4139,0.5812
stgcnpp,mixed_mild,50,kicking other person,276,0.936,0.3623,0.5737
stgcnpp,mixed_mild,53,point finger at the other person,276,0.9058,0.3382,0.5676
stgcnpp,mixed_mild,49,punching/slapping other person,274,0.9027,0.3467,0.556
stgcnpp,mixed_mild,36,wipe face,276,0.8829,0.337,0.5459
stgcnpp,mixed_mild,57,handshaking,276,0.9577,0.4432,0.5145
stgcnpp,mixed_mild,46,touch neck (neckache),276,0.843,0.3394,0.5036
stgcnpp,joint_missing_moderate,41,staggering,276,0.9952,0.0,0.9952
stgcnpp,joint_missing_moderate,51,pushing other person,276,0.9601,0.0012,0.9589
stgcnpp,joint_missing_moderate,58,walking towards each other,273,0.9951,0.0391,0.956
stgcnpp,joint_missing_moderate,50,kicking other person,276,0.936,0.0012,0.9348
stgcnpp,joint_missing_moderate,35,shake head,275,0.9467,0.0158,0.9309
stgcnpp,joint_missing_moderate,23,kicking something,276,0.9432,0.0157,0.9275
stgcnpp,joint_missing_moderate,25,hopping (one foot jumping),275,0.9879,0.0679,0.92
stgcnpp,joint_missing_moderate,55,giving something to other person,276,0.9312,0.0157,0.9155
stgcnpp,joint_missing_moderate,49,punching/slapping other person,274,0.9027,0.0012,0.9015
stgcnpp,joint_missing_moderate,53,point finger at the other person,276,0.9058,0.0217,0.8841
stgcnpp,limb_occlusion_moderate,39,cross hands in front (say stop),276,0.936,0.3261,0.6099
stgcnpp,limb_occlusion_moderate,53,point finger at the other person,276,0.9058,0.3333,0.5725
stgcnpp,limb_occlusion_moderate,41,staggering,276,0.9952,0.4952,0.5
stgcnpp,limb_occlusion_moderate,58,walking towards each other,273,0.9951,0.4969,0.4982
stgcnpp,limb_occlusion_moderate,47,nausea or vomiting condition,275,0.8448,0.3745,0.4703
stgcnpp,limb_occlusion_moderate,5,pickup,275,0.9576,0.4873,0.4703
stgcnpp,limb_occlusion_moderate,36,wipe face,276,0.8829,0.4577,0.4251
stgcnpp,limb_occlusion_moderate,38,put the palms together,276,0.9348,0.5157,0.4191
stgcnpp,limb_occlusion_moderate,37,salute,276,0.9275,0.5242,0.4034
stgcnpp,limb_occlusion_moderate,49,punching/slapping other person,274,0.9027,0.5036,0.399
stgcnpp,coord_noise_moderate,20,take off a hat/cap,273,0.9744,0.0024,0.9719
stgcnpp,coord_noise_moderate,25,hopping (one foot jumping),275,0.9879,0.0255,0.9624
stgcnpp,coord_noise_moderate,51,pushing other person,276,0.9601,0.0,0.9601
stgcnpp,coord_noise_moderate,19,put on a hat/cap,272,0.9681,0.0233,0.9449
stgcnpp,coord_noise_moderate,26,jump up,276,0.9988,0.0592,0.9396
stgcnpp,coord_noise_moderate,57,handshaking,276,0.9577,0.0181,0.9396
stgcnpp,coord_noise_moderate,18,take off glasses,274,0.9526,0.0195,0.9331
stgcnpp,coord_noise_moderate,50,kicking other person,276,0.936,0.006,0.93
stgcnpp,coord_noise_moderate,41,staggering,276,0.9952,0.0737,0.9215
stgcnpp,coord_noise_moderate,55,giving something to other person,276,0.9312,0.0097,0.9215
stgcnpp,frame_missing_moderate,27,make a phone call/answer phone,275,0.8933,0.5745,0.3188
stgcnpp,frame_missing_moderate,46,touch neck (neckache),276,0.843,0.5543,0.2886
stgcnpp,frame_missing_moderate,15,wear a shoe,273,0.7131,0.4286,0.2845
stgcnpp,frame_missing_moderate,51,pushing other person,276,0.9601,0.7053,0.2548
stgcnpp,frame_missing_moderate,49,punching/slapping other person,274,0.9027,0.6484,0.2543
stgcnpp,frame_missing_moderate,24,reach into pocket,274,0.8285,0.5791,0.2494
stgcnpp,frame_missing_moderate,18,take off glasses,274,0.9526,0.7056,0.247
stgcnpp,frame_missing_moderate,17,wear on glasses,273,0.9206,0.6935,0.2271
stgcnpp,frame_missing_moderate,36,wipe face,276,0.8829,0.686,0.1969
stgcnpp,frame_missing_moderate,47,nausea or vomiting condition,275,0.8448,0.6521,0.1927
stgcnpp,mixed_moderate,41,staggering,276,0.9952,0.1389,0.8563
stgcnpp,mixed_moderate,51,pushing other person,276,0.9601,0.1184,0.8418
stgcnpp,mixed_moderate,58,walking towards each other,273,0.9951,0.1905,0.8046
stgcnpp,mixed_moderate,49,punching/slapping other person,274,0.9027,0.1022,0.8005
stgcnpp,mixed_moderate,38,put the palms together,276,0.9348,0.1401,0.7947
stgcnpp,mixed_moderate,53,point finger at the other person,276,0.9058,0.122,0.7838
stgcnpp,mixed_moderate,35,shake head,275,0.9467,0.1636,0.783
stgcnpp,mixed_moderate,50,kicking other person,276,0.936,0.1558,0.7802
stgcnpp,mixed_moderate,55,giving something to other person,276,0.9312,0.1558,0.7754
stgcnpp,mixed_moderate,23,kicking something,276,0.9432,0.1703,0.7729
stgcnpp,joint_missing_severe,26,jump up,276,0.9988,0.0,0.9988
stgcnpp,joint_missing_severe,41,staggering,276,0.9952,0.0,0.9952
stgcnpp,joint_missing_severe,58,walking towards each other,273,0.9951,0.0049,0.9902
stgcnpp,joint_missing_severe,42,falling,275,0.9891,0.0012,0.9879
stgcnpp,joint_missing_severe,25,hopping (one foot jumping),275,0.9879,0.0012,0.9867
